"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","ERA-","FIP-"
"1973","NYM","82","79","40","355","161","1465.0","6.31","3.01","0.78",".273","75.6%","","","","3.27","","3.34","","19.0","92","94"
"1891","STL","86","52","5","179","141","1222.2","4.57","4.24","0.37",".272","57.6%","","","","3.27","","3.61","","14.9","83","95"
"1976","OAK","87","74","29","394","161","1459.1","4.38","2.56","0.59",".271","73.1%","","","","3.27","","3.43","","17.9","95","96"
"1917","PHA","55","98","8","249","154","1365.2","3.40","3.70","0.15",".274","64.8%","","","","3.27","","3.01","","11.1","119","105"
"1924","PIT","90","63","5","258","153","1382.0","2.37","2.10","0.27",".273","68.8%","","","","3.27","","3.66","","20.0","83","90"
"1939","CIN","97","57","9","299","156","1403.2","4.08","3.20","0.52",".269","72.5%","","","","3.27","","3.94","","14.2","86","100"
"1972","NYM","83","73","41","363","156","1414.2","6.74","3.09","0.75",".272","74.4%","","","","3.27","","3.08","","17.3","96","94"
"1933","PIT","87","67","12","298","154","1373.1","2.63","2.05","0.35",".272","67.6%","","","","3.27","","3.46","","15.5","97","96"
"2014","SDP","77","85","41","643","162","1438.2","8.03","2.89","0.73",".289","74.9%","45.2%","8.6%","92.2","3.27","","3.46","3.57","12.2","94","96"
"2013","PIT","94","68","55","627","162","1470.2","7.72","3.15","0.62",".285","75.0%","52.5%","8.9%","93.6","3.27","","3.42","3.58","16.8","91","93"
"1913","NYY","57","94","7","252","153","1344.0","3.55","3.05","0.21",".283","64.9%","","","","3.27","","3.08","","10.4","110","106"
"1979","BAL","102","57","30","326","159","1434.1","4.93","2.93","0.83",".255","74.9%","","","","3.28","","3.85","","19.1","81","94"
"1982","LAD","88","74","28","457","162","1488.1","5.64","2.83","0.49",".272","71.2%","","","","3.28","","3.16","","22.0","93","90"
"1963","MIN","91","70","30","395","161","1446.1","5.86","2.86","1.01",".260","76.2%","","","","3.28","","3.64","","16.3","88","97"
"1988","SDP","83","78","39","399","161","1449.0","5.50","2.73","0.70",".270","73.9%","","","","3.28","","3.50","","16.0","96","98"
"1989","CAL","91","71","38","413","162","1454.1","5.55","2.88","0.70",".278","75.6%","","","","3.28","","3.56","","20.1","86","92"
"1965","NYY","77","85","31","414","162","1459.2","6.17","3.15","0.78",".272","74.8%","","","","3.28","","3.38","","16.6","97","96"
"1902","CLE","69","67","3","160","137","1204.1","2.70","3.07","0.19",".279","61.1%","","","","3.28","","3.37","","9.5","94","104"
"1981","SFG","56","55","33","322","111","1009.1","5.00","3.50","0.51",".279","74.4%","","","","3.28","","3.46","","7.4","97","104"
"1978","SDP","84","78","55","427","162","1433.2","4.67","3.03","0.46",".279","72.2%","","","","3.28","","3.25","","17.6","99","95"
"1974","BAL","91","71","25","347","162","1474.0","4.28","2.93","0.62",".268","73.2%","","","","3.28","","3.55","","14.7","95","100"
"1902","PHA","83","53","2","162","137","1216.1","3.37","2.72","0.24",".297","64.8%","","","","3.29","","3.18","","15.3","89","94"
"1973","OAK","94","68","41","365","162","1457.1","4.92","3.05","0.88",".255","74.6%","","","","3.29","","3.83","","9.6","91","107"
"1975","NYY","83","77","20","307","160","1424.0","5.11","3.17","0.66",".271","74.0%","","","","3.29","","3.50","","19.5","89","93"
"1959","CHW","94","60","36","398","156","1425.1","4.81","3.32","0.81",".255","75.6%","","","","3.29","","3.82","","13.9","87","99"
"2020","CLE","35","25","20","241","60","536.0","10.43","2.64","1.14",".285","78.5%","40.5%","13.4%","93.3","3.29","","3.55","3.73","11.0","74","81"
"1892","NYG","70","79","1","165","152","1322.2","4.36","4.32","0.22",".268","55.5%","","","","3.29","","3.32","","10.5","103","104"
"1975","OAK","98","64","44","407","162","1448.0","4.87","3.25","0.63",".254","72.5%","","","","3.29","","3.58","","19.2","92","93"
"1963","CIN","86","76","36","344","162","1439.2","6.55","2.66","0.73",".274","73.2%","","","","3.29","","3.05","","21.1","98","91"
"1981","MON","60","48","23","291","108","975.0","4.80","2.47","0.54",".268","71.7%","","","","3.30","","3.19","","12.5","94","94"
"1965","CLE","87","75","41","444","162","1458.1","7.13","3.09","0.80",".266","73.0%","","","","3.30","","3.17","","21.7","95","88"
"1953","MIL","92","62","15","316","157","1387.0","4.79","3.50","0.69",".264","74.0%","","","","3.30","","3.74","","16.7","83","95"
"1911","PHI","79","73","10","231","153","1373.1","4.57","3.92","0.28",".281","67.3%","","","","3.30","","3.47","","15.1","94","98"
"1989","NYM","87","75","38","436","162","1454.1","6.86","3.29","0.71",".265","73.8%","","","","3.30","","3.42","","16.7","97","97"
"1981","OAK","64","45","10","221","109","993.0","4.58","3.35","0.73",".252","75.1%","","","","3.30","","3.83","","8.6","95","105"
"1970","OAK","89","73","40","471","162","1442.2","5.35","3.38","0.84",".251","75.3%","","","","3.30","","3.85","","12.2","92","102"
"1912","CLE","75","78","7","235","155","1352.2","4.14","3.48","0.10",".298","65.6%","","","","3.30","","3.23","","13.5","97","101"
"1931","NYG","87","65","12","258","153","1360.2","3.77","2.79","0.47",".271","70.6%","","","","3.30","","3.93","","12.9","88","101"
"1901","DET","73","61","2","155","135","1188.2","2.32","2.37","0.17",".300","59.9%","","","","3.30","","3.44","","13.3","90","96"
"1978","SFG","89","73","29","401","162","1455.0","5.20","2.80","0.52",".276","72.5%","","","","3.30","","3.16","","19.3","94","93"
"1919","DET","80","60","4","214","140","1256.0","3.07","3.12","0.25",".287","68.6%","","","","3.30","","3.30","","9.5","104","105"
"2017","CLE","102","60","37","659","162","1440.2","10.08","2.54","1.02",".303","77.5%","44.1%","13.0%","93.2","3.30","","3.33","3.41","30.4","72","75"
"1989","SFG","92","70","47","480","162","1457.0","4.95","2.91","0.74",".260","73.8%","","","","3.30","","3.75","","10.1","98","105"
"1985","TOR","99","62","47","477","161","1448.0","5.12","3.01","0.91",".258","76.4%","","","","3.31","","3.92","","17.0","78","96"
"1919","BOS","66","71","8","204","138","1224.1","2.80","3.09","0.12",".295","67.5%","","","","3.31","","3.13","","10.4","107","103"
"1971","PIT","97","65","48","391","162","1461.0","5.01","2.90","0.67",".278","74.8%","","","","3.31","","3.33","","13.2","98","101"
"1984","MON","78","83","48","433","161","1431.0","5.42","2.98","0.72",".272","74.5%","","","","3.31","","3.64","","13.2","94","102"
"1939","NYY","106","45","26","245","152","1348.2","3.77","3.78","0.57",".252","73.8%","","","","3.31","","4.24","","14.6","74","99"
"1945","CLE","73","72","12","263","147","1302.1","3.43","3.46","0.27",".273","71.6%","","","","3.31","","3.37","","11.1","104","102"
"1942","NYG","85","66","13","307","154","1370.0","3.26","3.24","0.62",".256","71.9%","","","","3.31","","3.69","","10.7","98","105"
"1899","BAL","86","61","4","171","151","1304.1","2.03","2.41","0.09",".291","62.7%","","","","3.31","","3.42","","16.8","86","93"
"1983","TEX","77","85","32","353","163","1466.2","5.07","2.89","0.60",".276","73.2%","","","","3.31","","3.53","","22.1","82","90"
"1976","BAL","88","74","23","333","162","1468.2","4.15","3.00","0.49",".270","72.9%","","","","3.32","","3.46","","13.9","102","101"
"1920","NYY","95","59","11","247","154","1368.0","3.16","2.76","0.32",".277","68.6%","","","","3.32","","3.48","","15.7","88","96"
"1967","DET","91","71","40","417","163","1443.2","6.47","2.94","0.94",".253","75.4%","","","","3.32","","3.52","","12.7","100","103"
"1952","CLE","93","61","18","298","155","1407.0","4.29","3.56","0.60",".256","72.5%","","","","3.32","","3.54","","13.1","95","101"
"1883","BUF","52","45","2","107","98","859.1","3.79","1.06","0.13",".318","47.0%","","","","3.32","","2.95","","11.0","104","92"
"1966","BAL","97","63","51","413","160","1466.1","6.57","3.15","0.78",".263","74.1%","","","","3.32","","3.33","","17.5","97","94"
"1969","DET","90","72","28","413","162","1455.1","6.38","3.62","0.79",".259","75.1%","","","","3.32","","3.51","","19.9","91","92"
"1974","NYY","89","73","24","344","162","1455.1","5.13","3.27","0.64",".279","73.7%","","","","3.32","","3.52","","15.9","94","99"
"1963","STL","93","69","32","405","162","1463.1","6.02","2.85","0.76",".267","72.7%","","","","3.32","","3.29","","19.7","93","93"
"1890","PHI","78","54","2","145","133","1194.2","3.82","3.66","0.17",".293","59.4%","","","","3.32","","3.58","","16.2","90","92"
"1967","BAL","76","85","36","409","161","1457.1","6.39","3.50","0.72",".257","74.0%","","","","3.32","","3.38","","12.2","104","102"
"1912","PHA","90","62","9","234","153","1357.0","3.99","3.44","0.08",".281","65.1%","","","","3.32","","3.22","","8.8","103","107"
"1956","CLE","88","66","24","337","155","1384.0","5.49","3.67","0.75",".258","74.9%","","","","3.32","","3.52","","22.1","80","88"
"1982","MON","86","76","43","412","162","1460.2","5.77","2.76","0.68",".276","72.6%","","","","3.33","","3.38","","18.8","93","94"
"1984","HOU","80","82","29","474","162","1449.1","5.90","3.12","0.57",".280","71.1%","","","","3.33","","3.35","","13.5","97","99"
"1884","CIN","68","41","0","113","112","983.2","2.82","1.66","0.25",".274","59.7%","","","","3.33","","3.55","","5.1","101","116"
"1914","BKF","77","77","9","249","157","1385.1","4.13","3.63","0.20",".291","67.4%","","","","3.33","","3.02","","10.1","103","106"
"1978","PHI","90","72","29","396","162","1436.1","5.09","2.46","0.74",".270","73.6%","","","","3.33","","3.39","","17.5","91","94"
"1968","BOS","86","76","31","387","162","1447.0","6.05","3.25","0.72",".269","73.8%","","","","3.33","","3.26","","17.0","104","97"
"1901","CHI","53","86","0","149","140","1241.2","4.25","2.35","0.20",".312","60.9%","","","","3.33","","3.05","","11.7","104","100"
"1907","BSN","58","90","2","190","152","1338.2","2.86","3.08","0.19",".279","66.5%","","","","3.33","","2.84","","7.8","134","113"
"1971","SFG","90","72","30","414","162","1454.2","5.14","2.91","0.79",".258","71.8%","","","","3.33","","3.49","","12.2","96","103"
"1902","SLB","77","58","2","161","139","1244.0","2.52","2.48","0.26",".281","65.4%","","","","3.34","","3.31","","9.6","97","103"
"1892","LOU","62","89","0","161","154","1346.0","2.88","2.99","0.17",".284","56.6%","","","","3.34","","3.14","","12.5","106","99"
"1875","NHE","7","40","0","55","47","426.0","0.97","0.46","0.11",".300","24.3%","","","","3.34","","2.46","","2.8","143","105"
"1903","BSN","58","80","1","155","140","1228.2","3.78","3.37","0.22",".303","63.5%","","","","3.34","","3.36","","9.0","103","107"
"2012","WSN","98","64","51","644","162","1468.1","8.12","3.05","0.79",".282","75.1%","46.3%","9.2%","94.3","3.34","","3.54","3.80","19.5","84","92"
"1973","NYY","80","82","39","305","162","1427.2","4.46","2.88","0.69",".270","73.2%","","","","3.34","","3.58","","15.7","90","97"
"1969","CHC","92","70","27","408","163","1454.1","6.29","2.94","0.73",".280","73.9%","","","","3.34","","3.20","","24.7","85","86"
"2012","CIN","97","65","56","587","162","1453.0","7.73","2.64","0.94",".288","76.9%","45.9%","10.7%","93.9","3.34","","3.72","3.80","18.7","84","92"
"1963","SFG","88","74","30","409","162","1469.0","5.84","2.84","0.77",".271","72.7%","","","","3.35","","3.31","","13.8","102","101"
"1957","CHW","90","64","27","355","155","1401.2","4.27","3.02","0.80",".259","75.9%","","","","3.35","","3.72","","14.6","90","99"
"1988","CIN","87","74","43","504","161","1455.0","5.78","3.12","0.75",".260","73.9%","","","","3.35","","3.66","","13.8","94","101"
"1983","PHI","90","72","41","463","163","1461.2","6.72","2.86","0.68",".294","72.8%","","","","3.35","","3.25","","23.8","91","87"
"1992","PIT","96","66","43","516","162","1479.2","5.13","2.77","0.61",".277","74.1%","","","","3.35","","3.51","","12.1","97","102"
"1957","BRO","84","70","29","358","154","1399.0","5.73","2.93","0.93",".264","75.1%","","","","3.35","","3.55","","20.5","83","90"
"2012","LAD","86","76","40","668","162","1449.2","7.92","3.35","0.76",".283","74.8%","45.5%","8.9%","92.5","3.35","","3.64","3.93","20.8","88","93"
"1965","DET","89","73","31","402","162","1455.0","6.61","3.15","0.85",".264","75.1%","","","","3.35","","3.42","","17.7","96","94"
"1971","CIN","79","83","38","417","162","1444.0","4.67","3.12","0.70",".258","74.6%","","","","3.35","","3.52","","8.7","100","108"
"1949","CLE","89","65","19","322","154","1383.2","3.86","3.97","0.53",".261","74.3%","","","","3.36","","3.78","","16.8","84","95"
"1899","STL","83","67","1","178","155","1340.2","2.22","2.15","0.28",".294","62.0%","","","","3.36","","3.56","","15.8","87","95"
"1976","CAL","76","86","17","339","162","1477.1","6.04","3.37","0.58",".272","72.0%","","","","3.36","","3.33","","16.9","100","97"
"1927","BRO","65","88","10","285","154","1375.1","3.76","2.74","0.41",".276","69.1%","","","","3.36","","3.75","","15.2","88","97"
"1889","BSN","83","45","4","145","133","1166.0","3.84","3.19","0.32",".285","63.4%","","","","3.36","","3.75","","17.3","79","89"
"1924","WAS","92","62","25","284","156","1383.0","3.05","3.29","0.22",".267","69.1%","","","","3.36","","3.87","","14.2","83","98"
"1911","CLE","80","73","6","230","156","1390.2","4.37","3.57","0.11",".296","65.3%","","","","3.36","","3.15","","13.8","98","100"
"1986","SFG","83","79","35","508","162","1460.1","6.11","3.64","0.75",".262","73.8%","","","","3.36","","3.76","","13.5","94","101"
"1967","BOS","92","70","44","416","162","1459.1","6.23","2.94","0.88",".263","74.6%","","","","3.36","","3.50","","16.8","97","97"
"1968","PHI","76","86","27","389","162","1448.1","5.81","2.62","0.57",".289","72.1%","","","","3.36","","2.87","","12.9","113","102"
"1928","PHA","98","55","16","256","153","1367.2","3.99","2.79","0.43",".271","69.3%","","","","3.36","","3.62","","19.3","82","91"
"2015","CHC","97","65","48","714","162","1461.1","8.81","2.51","0.83",".287","72.7%","46.6%","10.7%","93.1","3.36","","3.30","3.37","22.9","86","85"
"2010","SFG","92","70","57","638","162","1461.0","8.20","3.56","0.83",".282","77.0%","42.0%","8.0%","92.3","3.36","","3.74","3.94","18.4","87","97"
"1964","PHI","92","70","41","435","162","1461.0","6.22","2.71","0.79",".281","73.6%","","","","3.36","","3.38","","13.0","97","102"
"1885","STL","36","72","0","115","111","965.1","3.14","2.59","0.14",".278","52.0%","","","","3.37","","3.25","","6.3","123","111"
"1990","MON","85","77","50","503","162","1473.1","6.05","3.12","0.78",".271","75.6%","","","","3.37","","3.70","","14.5","89","99"
"1915","BKF","70","82","16","252","153","1355.2","3.10","3.56","0.18",".275","65.1%","","","","3.37","","3.16","","9.1","110","108"
"1899","CHI","75","73","1","157","152","1331.1","2.12","2.23","0.14",".291","59.5%","","","","3.37","","3.40","","15.9","89","95"
"1975","CIN","108","54","50","439","162","1459.0","4.09","3.00","0.69",".269","75.9%","","","","3.37","","3.74","","11.9","94","104"
"1875","SLR","4","15","0","22","19","171.0","1.00","0.16","0.00",".309","23.3%","","","","3.37","","2.20","","1.7","141","92"
"1989","STL","86","76","43","521","164","1461.0","5.20","2.97","0.52",".268","71.6%","","","","3.37","","3.41","","16.4","96","96"
"1976","PIT","92","70","35","399","162","1466.1","4.68","2.82","0.58",".272","71.6%","","","","3.37","","3.41","","15.7","96","98"
"1925","CIN","80","73","12","256","153","1375.1","2.86","2.12","0.23",".284","66.2%","","","","3.37","","3.58","","21.5","82","87"
"1955","CHW","91","63","23","357","155","1378.0","4.70","3.25","0.72",".266","75.9%","","","","3.37","","3.50","","20.4","85","90"
"1938","CHC","89","63","18","302","154","1396.2","3.76","2.93","0.46",".279","72.1%","","","","3.37","","3.76","","17.6","88","93"
"1877","CHI","26","33","3","76","60","534.0","1.55","0.98","0.12",".306","46.2%","","","","3.37","","2.99","","5.8","115","102"
"1933","STL","82","71","16","282","154","1382.2","4.13","2.94","0.36",".282","70.2%","","","","3.37","","3.41","","18.5","98","92"
"1982","STL","92","70","47","480","162","1465.1","4.23","3.08","0.58",".274","73.7%","","","","3.37","","3.68","","10.8","93","105"
"1946","BSN","81","72","12","321","154","1371.0","3.49","3.14","0.50",".259","71.0%","","","","3.37","","3.41","","14.2","99","99"
"1952","WAS","78","76","15","294","157","1429.2","3.61","3.63","0.49",".273","73.8%","","","","3.37","","3.57","","14.9","94","99"
"1962","PIT","93","68","41","424","161","1432.1","5.64","2.93","0.74",".289","73.7%","","","","3.37","","3.46","","20.1","86","91"
"1948","BSN","91","62","17","321","154","1389.1","3.75","2.79","0.60",".266","72.9%","","","","3.37","","3.65","","16.5","90","95"
"1928","STL","95","59","21","273","154","1415.1","2.68","2.54","0.55",".272","71.1%","","","","3.38","","4.00","","16.5","84","96"
"1971","MIL","69","92","32","399","161","1416.1","5.05","3.62","0.83",".263","75.1%","","","","3.38","","3.78","","9.4","98","107"
"1992","STL","83","79","47","584","162","1480.0","5.12","2.43","0.72",".271","73.8%","","","","3.38","","3.56","","13.0","98","102"
"1922","SLB","93","61","22","269","154","1392.0","3.45","2.71","0.46",".277","69.9%","","","","3.38","","3.91","","20.3","80","91"
"1913","DET","66","87","7","240","153","1360.0","3.10","3.34","0.09",".286","63.2%","","","","3.38","","3.10","","11.3","113","105"
"1915","BUF","74","78","11","250","153","1360.0","3.93","3.66","0.23",".276","67.6%","","","","3.38","","3.09","","10.9","110","105"
"1884","DET","28","84","0","119","114","984.2","4.46","2.24","0.33",".317","46.9%","","","","3.38","","3.50","","8.4","115","104"
"1986","STL","79","82","46","448","161","1466.1","4.67","2.98","0.83",".264","74.9%","","","","3.38","","3.97","","8.8","92","109"
"2017","LAD","104","58","51","698","162","1444.2","9.65","2.75","1.15",".281","77.8%","42.7%","13.4%","93.1","3.38","","3.67","3.70","21.7","82","86"
"1946","BOS","104","50","20","307","156","1396.2","4.30","3.23","0.57",".271","73.2%","","","","3.38","","3.36","","17.2","94","95"
"1951","CLE","93","61","19","290","155","1391.1","4.15","3.73","0.56",".260","73.2%","","","","3.38","","3.66","","15.5","88","97"
"2013","CIN","90","72","43","623","162","1473.2","7.91","2.66","1.04",".273","77.5%","44.1%","11.5%","94.4","3.38","","3.81","3.68","18.0","89","98"
"2014","ATL","79","83","54","634","162","1455.0","8.05","2.92","0.75",".300","75.0%","42.7%","8.3%","93.6","3.38","","3.47","3.63","18.6","93","97"
"1967","WAS","76","85","39","491","161","1473.1","5.36","3.02","0.69",".264","72.0%","","","","3.38","","3.43","","10.5","107","104"
"1989","SDP","89","73","52","407","162","1457.1","5.76","2.97","0.82",".271","73.7%","","","","3.38","","3.70","","15.0","97","101"
"1944","NYY","83","71","13","265","154","1390.1","3.42","3.44","0.53",".266","71.8%","","","","3.39","","3.72","","9.1","99","109"
"1890","CPI","75","62","2","152","138","1219.1","3.40","3.71","0.20",".289","57.9%","","","","3.39","","3.74","","17.0","80","90"
"1955","CLE","93","61","36","369","154","1386.1","5.69","3.62","0.72",".271","73.9%","","","","3.39","","3.40","","21.7","86","88"
"1975","NYM","82","80","31","391","162","1466.0","6.07","3.56","0.61",".277","73.1%","","","","3.39","","3.35","","17.9","97","95"
"1922","NYY","94","60","14","223","154","1393.2","2.96","2.73","0.47",".273","70.4%","","","","3.39","","3.99","","15.8","84","98"
"1947","NYY","97","57","21","295","155","1374.1","4.53","4.11","0.62",".254","74.9%","","","","3.39","","3.80","","13.1","92","102"
"1911","BRO","64","86","10","245","154","1371.2","3.50","3.71","0.18",".278","66.9%","","","","3.39","","3.48","","10.4","103","104"
"2019","LAD","106","56","44","707","162","1445.2","9.46","2.44","1.15",".271","74.7%","44.9%","14.1%","93.5","3.39","","3.73","3.87","25.4","80","84"
"1904","PHI","52","100","2","180","155","1339.1","3.15","2.86","0.15",".297","60.0%","","","","3.39","","2.88","","8.4","126","110"
"1992","CHC","78","84","37","534","162","1469.0","5.52","3.52","0.66",".269","73.7%","","","","3.39","","3.77","","11.9","94","104"
"1990","PIT","95","67","43","526","162","1447.0","5.27","2.57","0.84",".270","73.5%","","","","3.40","","3.77","","13.8","92","101"
"1928","CHC","91","63","14","276","154","1380.2","3.46","3.31","0.37",".279","70.9%","","","","3.40","","3.83","","17.8","85","93"
"2018","LAD","92","71","48","756","163","1476.0","9.54","2.57","1.09",".284","76.2%","44.9%","13.4%","92.6","3.40","","3.60","3.52","18.9","88","90"
"1958","BAL","74","79","28","337","154","1369.2","4.92","2.65","0.70",".266","72.8%","","","","3.40","","3.35","","18.3","95","92"
"1988","SFG","83","79","42","452","162","1462.1","5.39","2.60","0.61",".265","70.2%","","","","3.40","","3.38","","16.3","102","96"
"1981","TEX","57","48","18","247","105","940.1","4.67","3.08","0.64",".260","73.1%","","","","3.40","","3.57","","9.6","95","99"
"1990","CIN","91","71","50","478","162","1456.1","6.36","3.36","0.77",".276","75.7%","","","","3.40","","3.69","","21.2","87","92"
"1960","LAD","82","72","20","358","154","1398.0","7.22","3.63","0.99",".265","76.4%","","","","3.40","","3.63","","16.9","86","95"
"1926","CLE","88","66","4","235","154","1374.0","2.50","2.95","0.32",".275","70.5%","","","","3.40","","3.90","","16.6","84","96"
"1918","DET","55","71","7","204","128","1160.2","2.90","3.39","0.08",".276","65.7%","","","","3.40","","2.91","","10.2","122","102"
"2014","LAD","94","68","47","658","162","1464.2","8.44","2.64","0.87",".292","74.0%","47.8%","10.8%","92.8","3.40","","3.48","3.33","19.5","98","96"
"1938","BSN","77","75","12","262","153","1380.0","2.69","3.03","0.43",".265","70.4%","","","","3.40","","4.02","","8.0","97","109"
"1985","SDP","83","79","44","445","162","1451.1","4.51","2.75","0.79",".269","73.7%","","","","3.40","","3.79","","14.1","96","102"
"2010","SDP","90","72","49","661","162","1456.1","8.00","3.20","0.86",".286","76.7%","46.0%","9.3%","91.7","3.41","","3.66","3.67","16.3","92","95"
"1988","HOU","82","80","40","446","162","1474.2","6.40","2.92","0.75",".270","72.7%","","","","3.41","","3.48","","11.2","102","105"
"1914","KCP","67","84","12","246","154","1361.0","3.97","2.94","0.24",".294","65.5%","","","","3.41","","2.89","","10.5","109","104"
"1898","PIT","72","76","3","174","152","1323.2","2.24","2.35","0.10",".289","62.4%","","","","3.41","","3.19","","14.8","97","95"
"1874","CHI","28","31","0","60","59","533.2","0.51","0.81","0.12",".318","36.0%","","","","3.41","","3.14","","5.9","108","99"
"1964","HOU","66","96","31","410","162","1428.0","5.37","2.22","0.66",".283","70.9%","","","","3.41","","3.17","","14.7","101","99"
"1902","CHW","74","60","0","160","138","1221.2","2.55","2.44","0.22",".286","65.2%","","","","3.41","","3.23","","9.6","100","103"
"1992","LAD","63","99","29","515","162","1438.0","6.14","3.46","0.51",".290","72.1%","","","","3.41","","3.37","","15.8","101","98"
"1953","CHW","89","65","33","340","156","1403.2","4.58","3.74","0.72",".262","75.2%","","","","3.41","","3.92","","14.8","86","99"
"1968","CHC","84","78","32","384","163","1453.2","5.53","2.43","0.85",".274","74.3%","","","","3.41","","3.25","","10.7","107","107"
"1943","SLB","72","80","14","283","153","1385.0","3.72","3.17","0.48",".277","72.3%","","","","3.41","","3.38","","15.0","100","98"
"1909","STL","54","98","4","246","154","1379.2","2.84","3.15","0.14",".280","62.6%","","","","3.41","","2.84","","7.3","134","112"
"1920","CLE","98","56","7","254","154","1377.0","3.05","2.62","0.20",".296","67.3%","","","","3.41","","3.30","","20.3","88","89"
"1906","BOS","49","105","6","190","155","1382.0","3.58","1.86","0.24",".283","59.7%","","","","3.41","","2.54","","13.1","126","101"
"1966","NYY","70","89","32","387","160","1415.2","5.35","2.82","0.79",".267","72.7%","","","","3.41","","3.49","","13.8","101","100"
"2009","LAD","95","67","44","688","162","1473.1","7.77","3.57","0.78",".275","74.9%","43.7%","8.1%","92.8","3.41","","3.80","4.07","18.6","84","91"
"1884","PHA","61","46","0","111","108","948.2","5.03","1.20","0.15",".296","50.8%","","","","3.42","","2.77","","14.1","102","87"
"1982","HOU","77","85","31","406","162","1446.2","5.59","2.98","0.54",".276","71.2%","","","","3.42","","3.32","","14.9","101","98"
"1974","NYM","71","91","14","374","162","1470.1","5.56","3.09","0.61",".284","72.2%","","","","3.42","","3.30","","18.9","98","93"
"1926","CIN","87","67","8","264","157","1408.2","2.71","2.07","0.26",".278","65.9%","","","","3.42","","3.43","","18.0","93","93"
"2012","ATL","94","68","47","622","162","1445.1","7.67","2.89","0.90",".284","75.4%","47.2%","10.8%","92.0","3.42","","3.74","3.80","11.4","87","98"
"1974","CIN","98","64","27","419","163","1466.1","5.37","3.29","0.77",".267","73.9%","","","","3.42","","3.63","","14.4","97","100"
"1886","BRO","76","61","0","144","141","1234.2","3.94","3.38","0.12",".287","51.8%","","","","3.42","","3.53","","10.3","99","105"
"1978","PIT","88","73","44","433","161","1444.2","5.48","3.11","0.64",".273","71.9%","","","","3.42","","3.40","","17.6","94","94"
"1935","PIT","86","67","11","271","153","1365.2","3.62","2.06","0.42",".280","66.6%","","","","3.42","","3.58","","21.4","85","88"
"1933","CIN","58","94","8","266","153","1352.0","2.06","1.71","0.31",".282","65.5%","","","","3.42","","3.39","","15.0","105","97"
"1912","CIN","75","78","10","244","155","1377.2","3.66","2.95","0.18",".300","64.5%","","","","3.42","","3.28","","14.9","100","97"
"1979","PIT","98","64","52","489","163","1493.1","5.45","3.04","0.75",".276","73.8%","","","","3.42","","3.68","","17.7","89","96"
"1978","MON","76","86","32","429","162","1446.0","4.61","3.56","0.73",".264","74.7%","","","","3.42","","3.86","","5.7","97","112"
"1912","CHC","91","59","9","256","152","1358.2","3.67","3.27","0.22",".280","65.5%","","","","3.42","","3.44","","11.5","102","103"
"1990","NYM","91","71","41","430","162","1440.0","7.61","2.78","0.74",".290","72.8%","","","","3.43","","3.17","","24.4","93","85"
"1937","NYG","95","57","17","294","152","1361.0","4.32","2.67","0.56",".276","70.7%","","","","3.43","","3.83","","14.7","89","97"
"1989","CHC","93","69","55","500","162","1460.1","5.66","3.28","0.65",".276","73.3%","","","","3.43","","3.59","","16.1","93","97"
"1972","STL","75","81","13","372","156","1399.2","5.86","3.41","0.56",".277","72.2%","","","","3.43","","3.09","","19.3","98","92"
"2011","SDP","71","91","44","651","162","1449.1","7.07","3.24","0.78",".283","74.5%","44.0%","8.2%","92.4","3.43","","3.73","3.93","15.1","97","100"
"2013","STL","97","65","44","645","162","1459.2","7.73","2.78","0.69",".297","74.5%","48.5%","8.5%","94.1","3.43","","3.39","3.63","17.3","93","91"
"1884","CLE","35","77","0","119","113","994.2","4.36","2.43","0.32",".303","47.3%","","","","3.43","","3.57","","6.8","118","109"
"1978","TEX","87","75","25","332","162","1456.1","4.80","2.60","0.67",".278","72.1%","","","","3.43","","3.40","","21.2","91","91"
"1904","BSN","55","98","0","175","155","1348.1","3.63","3.34","0.17",".298","62.4%","","","","3.43","","2.96","","7.9","128","111"
"1964","STL","93","69","38","394","162","1445.1","5.46","2.55","0.83",".275","71.9%","","","","3.43","","3.50","","18.1","90","95"
"1891","BAL","71","63","2","160","139","1217.0","3.02","3.49","0.24",".285","54.8%","","","","3.43","","3.52","","13.3","91","97"
"1920","STL","75","79","12","290","155","1426.2","3.34","3.02","0.19",".291","67.7%","","","","3.43","","3.41","","9.5","112","106"
"1968","CAL","67","95","31","482","162","1437.0","5.44","3.25","0.82",".250","73.1%","","","","3.43","","3.51","","3.4","120","117"
"1891","CKE","43","57","1","120","102","902.0","3.30","4.45","0.20",".289","54.1%","","","","3.43","","3.72","","9.7","88","99"
"1973","CIN","99","63","43","429","162","1473.0","4.89","3.16","0.82",".266","75.3%","","","","3.43","","3.78","","9.4","97","107"
"1992","MIL","92","70","39","500","162","1457.0","4.90","2.69","0.78",".262","74.1%","","","","3.43","","3.82","","16.2","88","98"
"1884","WST","46","64","0","132","112","953.2","6.46","1.59","0.15",".327","42.3%","","","","3.44","","2.58","","8.9","115","100"
"1929","PHA","104","46","24","277","151","1357.0","3.80","3.23","0.48",".277","71.0%","","","","3.44","","4.13","","16.9","81","94"
"1944","PIT","90","63","19","298","158","1414.1","2.88","2.77","0.41",".273","68.7%","","","","3.44","","3.46","","18.7","92","92"
