"Season","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","ERA-","FIP-"
"1918","CHC","84","45","8","183","131","1197.0","3.55","2.23","0.10",".257","72.2%","","","","2.18","","2.38","","18.3","77","86"
"1879","BSN","54","30","0","89","84","753.0","2.75","0.55","0.11",".283","57.6%","","","","2.19","","2.47","","7.7","89","100"
"1905","PHA","92","56","0","189","152","1383.1","5.82","2.66","0.14",".271","70.7%","","","","2.19","","2.31","","19.3","82","89"
"1916","BSN","89","63","11","240","158","1415.2","4.09","2.07","0.15",".258","72.5%","","","","2.19","","2.38","","16.2","87","94"
"1917","BOS","90","62","7","208","157","1421.1","3.22","2.62","0.08",".252","73.5%","","","","2.20","","2.63","","13.8","87","99"
"1902","CHI","68","69","2","150","141","1275.1","3.08","1.97","0.05",".280","68.3%","","","","2.21","","2.71","","11.5","83","100"
"1919","CHC","75","65","5","219","140","1265.0","3.52","2.09","0.10",".260","72.9%","","","","2.21","","2.61","","19.1","75","87"
"1906","PIT","93","60","2","196","154","1358.0","3.53","2.05","0.09",".270","71.5%","","","","2.21","","2.39","","17.8","84","90"
"1882","CHI","55","29","0","85","84","763.2","3.29","1.20","0.15",".259","55.4%","","","","2.22","","2.66","","9.8","75","92"
"1907","CHW","87","64","9","210","157","1406.1","3.87","1.95","0.08",".274","71.2%","","","","2.22","","2.09","","14.5","93","96"
"1908","CHW","88","64","10","218","156","1414.0","3.97","1.81","0.07",".256","68.4%","","","","2.22","","1.92","","15.4","99","95"
"1883","CLE","55","42","2","108","100","879.0","4.12","2.22","0.07",".281","57.7%","","","","2.22","","3.19","","7.3","73","104"
"1904","CLE","86","65","0","169","154","1356.2","4.16","1.89","0.07",".283","70.4%","","","","2.22","","2.22","","16.3","87","93"
"1906","SLB","76","73","5","175","154","1357.2","3.70","2.08","0.09",".255","67.6%","","","","2.23","","2.37","","13.1","85","100"
"1883","STL","65","33","1","103","98","879.1","3.33","1.54","0.07",".251","54.1%","","","","2.23","","3.13","","11.2","66","93"
"1919","CIN","96","44","9","214","140","1274.0","2.88","2.11","0.15",".251","73.3%","","","","2.23","","2.81","","12.5","80","99"
"1885","CHI","87","25","4","118","113","1015.2","4.06","1.79","0.33",".257","58.9%","","","","2.23","","3.05","","14.0","74","94"
"1884","MIL","8","4","0","12","12","104.0","12.03","1.13","0.09",".237","46.2%","","","","2.25","","1.10","","7.6","17","11"
"1877","LOU","35","25","0","61","61","559.0","2.27","0.66","0.06",".299","56.7%","","","","2.25","","2.65","","9.5","74","87"
"1907","CLE","85","67","5","194","158","1392.2","3.32","2.34","0.05",".267","69.2%","","","","2.26","","2.30","","12.5","90","102"
"1909","DET","98","54","12","208","158","1420.1","3.35","2.27","0.10",".263","71.4%","","","","2.26","","2.38","","15.1","88","100"
"1883","CIN","61","37","0","100","98","866.2","2.23","1.74","0.18",".252","57.2%","","","","2.26","","3.60","","6.4","69","109"
"1880","WOR","40","43","5","103","85","762.2","3.50","1.14","0.15",".273","55.3%","","","","2.27","","2.36","","9.6","89","93"
"1917","NYG","98","56","14","255","158","1426.2","3.48","2.06","0.18",".249","72.9%","","","","2.27","","2.50","","12.3","88","101"
"1882","PRO","52","32","1","88","84","752.0","3.27","1.04","0.14",".268","55.4%","","","","2.27","","2.59","","7.4","82","97"
"1909","NYG","92","61","15","224","157","1440.2","4.59","2.48","0.17",".268","69.0%","","","","2.27","","2.27","","20.7","88","87"
"1908","BOS","75","79","7","220","155","1380.1","4.07","2.37","0.12",".266","69.3%","","","","2.28","","2.16","","14.2","94","99"
"1879","CIN","43","37","0","84","81","726.0","3.05","1.00","0.14",".293","45.4%","","","","2.29","","2.59","","4.9","97","110"
"1907","PIT","91","63","5","208","157","1363.0","3.28","2.43","0.08",".263","69.0%","","","","2.30","","2.37","","15.9","93","94"
"1902","PIT","102","36","3","151","141","1264.2","4.01","1.78","0.03",".275","70.0%","","","","2.30","","2.41","","18.0","83","87"
"1904","CHW","89","65","3","178","156","1380.0","3.59","1.98","0.08",".256","68.9%","","","","2.30","","2.40","","9.4","94","106"
"1904","CHC","93","60","6","173","156","1383.2","4.02","2.61","0.10",".257","68.8%","","","","2.30","","2.55","","15.2","87","96"
"1874","NYM","42","23","0","68","65","586.0","0.35","0.61","0.05",".287","46.3%","","","","2.30","","3.00","","4.5","79","102"
"1915","WAS","85","68","13","254","155","1393.2","4.62","2.94","0.08",".263","71.2%","","","","2.31","","2.47","","20.4","79","87"
"1918","BOS","75","51","2","154","126","1120.0","3.15","3.05","0.07",".246","72.3%","","","","2.31","","2.73","","10.0","88","101"
"1878","BSN","41","19","0","62","60","544.0","3.04","0.63","0.10",".304","62.8%","","","","2.32","","2.21","","6.0","101","97"
"1877","HAR","31","27","0","61","60","544.0","1.64","0.93","0.03",".284","50.7%","","","","2.32","","2.83","","3.3","89","109"
"1878","IND","24","36","1","67","63","578.0","2.83","1.35","0.05",".299","54.0%","","","","2.32","","2.43","","2.5","110","115"
"1913","CHW","78","74","8","251","153","1360.1","3.98","2.90","0.07",".267","71.0%","","","","2.33","","2.73","","14.1","82","97"
"1888","BRO","88","52","0","148","143","1286.1","4.04","1.99","0.10",".255","57.4%","","","","2.33","","2.58","","16.0","76","90"
"1907","DET","92","58","7","188","153","1370.2","3.36","2.50","0.05",".275","69.1%","","","","2.33","","2.34","","14.0","89","100"
"1879","BUF","46","32","0","80","79","713.0","2.50","0.59","0.04",".277","51.3%","","","","2.34","","2.44","","8.7","92","96"
"1904","CIN","88","65","2","172","157","1392.2","3.24","2.22","0.08",".266","67.6%","","","","2.34","","2.56","","22.0","79","87"
"1908","WAS","67","85","7","215","155","1390.2","4.20","2.25","0.10",".272","67.6%","","","","2.34","","2.07","","12.5","102","101"
